Federal States,Grade 1.0,Grade 1.1,Grade 1.2,Grade 1.3,Grade 1.4,Grade 1.5,Grade 1.6,Grade 1.7,Grade 1.8,Grade 1.9,Grade 2.0,Grade 2.1,Grade 2.2,Grade 2.3,Grade 2.4,Grade 2.5,Grade 2.6,Grade 2.7,Grade 2.8,Grade 2.9,Grade 3.0,Grade 3.1,Grade 3.2,Grade 3.3,Grade 3.4,Grade 3.5,Grade 3.6,Grade 3.7,Grade 3.8,Grade 3.9,Grade 4.0,year
Rheinland-Pfalz,222,176,230,246,349,397,479,546,612,685,752,806,852,896,890,1017,1018,974,994,929,968,891,916,753,554,430,238,106,35,4,12,2017-01-01
Saarland,69,36,55,73,68,91,112,131,155,146,150,144,155,183,197,183,182,221,220,195,188,171,150,91,61,24,6,2,1,0,0,2017-01-01
Sachsen,255,166,212,265,352,415,432,535,589,637,653,675,662,726,694,688,729,635,662,536,503,459,345,263,176,81,27,7,0,0,1,2017-01-01
Sachsen-Anhalt,123,85,122,131,126,162,195,234,230,265,259,259,310,320,298,310,281,329,281,264,265,248,202,128,105,38,7,2,0,0,0,2017-01-01
Schleswig-Holstein,115,104,110,151,201,244,303,364,394,433,515,587,636,650,716,827,837,863,893,879,837,803,801,612,482,345,188,78,24,1,16,2017-01-01
Thüringen,169,121,161,215,234,253,288,307,344,348,344,397,368,387,359,360,352,339,296,259,184,161,161,96,60,29,9,5,1,0,1,2017-01-01
Baden-Wüttemberg,726,476,690,826,1025,1216,1425,1587,1814,2041,2059,2349,2426,2525,2639,2765,2758,2785,2688,2669,2482,2267,2136,1873,1421,1004,497,140,26,2,2,2018-01-01
Bayern,935,550,752,928,1032,1247,1485,1748,1871,2049,2029,2158,2399,2352,2393,2419,2206,2379,2216,1996,1918,1468,1397,1018,672,436,134,58,17,9,20,2018-01-01
Berlin,286,186,282,307,364,444,475,530,609,654,624,732,760,792,828,928,911,971,915,951,923,830,755,591,442,270,109,41,7,4,1,2018-01-01
Brandenburg,237,158,186,199,281,306,318,355,420,478,459,482,577,546,542,532,587,532,531,467,429,401,317,187,131,45,27,1,1,1,0,2018-01-01
Bremen,61,47,52,56,82,83,77,98,80,103,104,109,134,104,120,141,140,121,140,169,111,126,126,115,99,63,25,6,3,0,4,2018-01-01
Hamburg,159,114,126,175,203,272,312,311,338,384,417,405,438,465,453,511,446,519,499,494,454,442,368,349,250,188,92,32,2,0,0,2018-01-01
Hessen,497,312,416,473,591,691,788,849,884,1046,1029,1052,1099,1225,1232,1244,1267,1288,1239,1272,1154,1115,1006,826,695,431,247,91,22,0,0,2018-01-01
Mecklenburg-Vorpommern,114,78,116,113,140,157,168,200,191,230,228,246,299,304,260,271,286,302,261,253,258,219,208,165,85,52,16,3,0,0,0,2018-01-01
Niedersachsen,308,193,284,417,546,629,702,813,966,1061,1040,1240,1356,1457,1615,1698,1783,1796,1929,2035,1882,1867,1821,1654,1395,881,527,159,37,4,0,2018-01-01
Nordrhein-Westfalen,1523,919,1239,1590,1806,2013,2340,2613,2861,3174,3175,3469,3811,3979,4220,4305,4361,4343,4498,4610,4209,4075,3885,3332,2672,2008,1074,397,94,11,6,2018-01-01
Rheinland-Pfalz,215,134,219,260,340,431,507,522,609,693,742,760,776,846,896,895,936,908,1018,943,968,891,836,772,520,409,196,90,28,6,9,2018-01-01
Saarland,62,40,45,80,93,86,123,116,133,134,165,151,160,207,186,197,215,222,205,196,205,151,145,107,72,28,8,1,0,0,0,2018-01-01
Sachsen,294,185,267,323,384,412,444,522,552,629,601,680,703,696,696,638,603,627,629,571,510,401,357,243,162,83,28,7,0,0,0,2018-01-01
Sachsen-Anhalt,136,79,113,124,171,166,213,230,273,269,262,328,304,265,319,306,331,314,292,309,280,254,232,191,94,49,25,1,0,0,0,2018-01-01
Schleswig-Holstein,109,86,117,172,222,247,270,319,376,414,484,578,542,604,652,658,741,822,808,802,767,722,718,590,489,331,169,71,28,0,1,2018-01-01
Thüringen,167,146,181,228,246,254,314,287,340,332,356,355,373,351,396,356,345,341,263,203,242,203,132,98,47,21,8,2,0,0,0,2018-01-01
Baden-Wüttemberg,821,532,653,900,1050,1227,1439,1661,1770,1944,2058,2314,2362,2483,2488,2635,2669,2620,2550,2449,2319,2118,1922,1675,1312,828,428,164,36,6,3,2019-01-01
Bayern,847,546,707,868,1020,1241,1379,1515,1781,2092,1959,2184,2214,2289,2396,2358,2360,2231,2187,2116,1737,1648,1330,1072,706,380,136,44,24,12,13,2019-01-01
Berlin,288,162,241,305,342,381,404,525,516,555,541,616,641,713,752,793,768,808,818,811,771,702,599,506,419,234,137,35,13,5,8,2019-01-01
Brandenburg,230,159,189,223,264,299,344,400,402,433,436,460,495,501,563,548,501,514,483,462,385,368,312,194,98,47,19,3,0,0,0,2019-01-01
Bremen,55,28,35,43,67,84,83,68,111,97,102,119,125,127,143,115,161,136,159,136,128,130,105,85,67,43,16,7,7,0,1,2019-01-01
Hamburg,141,103,131,188,210,235,289,285,336,346,360,404,451,448,432,494,482,521,496,520,456,435,380,312,262,164,95,29,8,2,0,2019-01-01
Hessen,549,312,400,456,588,648,796,767,848,961,970,1024,1054,1107,1108,1107,1126,1122,1155,1114,1073,991,861,739,613,415,211,100,16,1,0,2019-01-01
Mecklenburg-Vorpommern,109,55,77,106,144,137,181,201,189,230,226,250,280,258,262,265,305,252,247,250,252,208,220,151,100,47,16,6,0,0,0,2019-01-01
