latitude,longtitude,country,iso2,Federal States
53.5747,7.7808,Germany,DE,Lower SN
50.8117,10.2333,Germany,DE,Thüringen
50.1333,11.0333,Germany,DE,Bayern
50.6547,12.1997,Germany,DE,Thüringen
48.7184,10.777,Germany,DE,Bayern
51.5603,13.0056,Germany,DE,Sachsen
51.8297,9.4483,Germany,DE,Lower SN
48.6333,12.5,Germany,DE,Bayern
50.58,13.0022,Germany,DE,Sachsen
51.1881,10.0528,Germany,DE,Hessen
52.2833,11.4167,Germany,DE,Sachsen-Anhalt
51.1617,11.1169,Germany,DE,Thüringen
53.3167,13.8667,Germany,DE,Brandenburg
